0,92,67
1,90,59
2,90,59
3,90,59
4,90,59
5,91,59
6,91,59
7,91,59
8,91,59
9,91,58
10,91,58
11,91,57
12,91,57
13,92,56
14,92,55
15,92,55
16,93,54
17,93,53
18,94,53
19,94,53
20,95,52
21,95,52
22,96,51
23,96,50
24,97,50
25,97,49
26,97,49
27,98,48
28,98,48
29,98,48
30,99,48
31,99,47
32,99,47
33,99,47
34,100,47
35,100,47
36,100,48
37,100,48
38,100,48
39,99,48
40,98,48
41,97,49
42,95,50
43,93,50
44,90,51
45,87,51
46,84,52
47,80,53
48,77,54
49,73,55
50,70,56
51,67,57
52,64,58
53,62,59
54,61,59
55,61,59
56,62,59
57,64,59
58,66,60
59,67,60
60,69,60
61,70,61
62,71,60
63,71,60
64,70,59
65,69,59
66,68,59
67,68,58
68,67,59
69,67,59
70,67,58
71,68,57
72,68,56
73,69,54
74,70,53
75,71,51
76,72,49
77,73,48
78,75,47
79,77,46
80,80,45
81,82,45
82,85,44
83,88,44
84,91,44
85,94,44
86,97,43
87,100,43
88,103,43
89,106,43
90,108,43
91,110,43
92,112,43
93,113,43
94,114,43
95,114,43
96,114,43
97,114,44
98,113,44
99,111,45
100,110,46
101,107,47
102,104,48
103,101,49
104,98,49
105,95,49
106,93,49
107,90,49
108,88,49
109,87,48
110,85,48
111,84,47
112,83,47
113,82,47
114,81,47
115,81,46
116,81,46
117,80,46
118,80,46
119,80,47
120,80,47
121,80,48
122,80,48
123,80,48
124,80,48
125,80,48
126,80,48
127,80,48
128,80,48
129,80,48
130,79,48
131,79,48
132,79,48
133,79,48
134,79,48
135,79,48
136,79,48
137,80,49
138,80,49
139,81,49
140,82,48
141,82,48
142,83,48
143,83,48
144,84,48
145,85,48
146,85,48
147,85,48
148,85,48
149,85,48
150,85,48
151,85,48
152,85,48
153,85,48
154,85,48
155,85,48
156,85,48
157,85,48
158,85,48
159,85,48
160,85,49
161,85,49
162,86,50
163,86,50
164,86,51
165,86,51
166,86,51
167,86,51
168,87,51
169,87,52
170,87,52
171,87,54
172,87,54
173,87,55
174,88,55
175,88,55
176,88,55
177,88,55
178,89,55
179,89,55
180,89,55
181,90,55
182,91,54
183,92,54
184,93,54
185,93,54
186,94,55
187,96,55
188,97,56
189,99,57
190,102,59
191,104,60
192,106,61
193,108,62
194,109,63
195,112,64
196,114,65
197,116,66
198,118,68
199,120,69
200,121,69
201,123,70
202,124,70
203,126,70
204,128,68
205,126,68
206,127,65
207,128,63
208,127,61
209,125,59
210,122,56
211,117,54
212,112,53
213,107,51
214,102,50
215,96,50
216,91,49
217,87,49
218,83,48
219,80,48
220,77,48
221,74,49
222,72,49
223,71,49
224,70,50
225,69,50
226,69,51
227,70,51
228,71,52
229,74,53
230,76,54
231,79,55
232,83,56
233,86,57
234,89,58
235,91,59
236,93,59
237,95,59
238,96,59
239,97,59
240,98,59
241,99,59
242,99,59
243,99,59
244,99,58
245,99,58
246,99,57
247,98,57
248,98,56
249,97,56
250,96,55
251,95,55
252,94,55
253,93,55
254,92,54
255,91,54
256,91,54
